T	x(Al)	x(Zn)	phase_name	f(@FCC_A1#1)	f(@FCC_A1#2)	f(@HCP_A3)	f(@Liquid)	G	H	S
K	mole/mole	mole/mole								
933.5979825	0.999995714	4.285979656E-06	Liquid+FCC_A1	0			1	-37876.24655	28844.36547	71.46610561
933.5959542	0.9999912734	8.726619117E-06	Liquid+FCC_A1	0			1	-37876.5501	28844.32909	71.46654706
933.5797276	0.999955748	4.425197239E-05	Liquid+FCC_A1	0			1	-37878.6101	28844.03806	71.46968404
933.5148299	0.9998136427	0.0001863572881	Liquid+FCC_A1	0			1	-37885.21021	28842.87409	71.48047589
933.3850763	0.9995294129	0.0004705870671	Liquid+FCC_A1	0			1	-37896.01524	28840.54681	71.49949549
932.8666188	0.9983922393	0.001607760728	Liquid+FCC_A1	0			1	-37929.27781	28831.24689	71.56491974
928.7509477	0.9892803044	0.01071969562	Liquid+FCC_A1	0			1	-38074.76416	28757.36311	71.95914839
926.7143699	0.9847147758	0.01528522422	Liquid+FCC_A1	0			1	-38118.21279	28720.75502	72.12466968
925.7013745	0.9824296528	0.01757034718	Liquid+FCC_A1	0			1	-38135.96063	28702.53172	72.20308211
925.1961975	0.9812865056	0.01871349439	Liquid+FCC_A1	0			1	-38144.0118	28693.43991	72.24138177
924.9439388	0.9807147861	0.01928521393	Liquid+FCC_A1	0			1	-38147.84795	28688.89893	72.26032202
924.817892	0.9804288898	0.01957111016	Liquid+FCC_A1	0			1	-38149.72047	28686.62966	72.26974165
924.6289248	0.98	0.02	Liquid+FCC_A1	0			1	-38152.47367	28683.22729	72.2838094
924.4400807	0.9795710558	0.02042894419	Liquid+FCC_A1	0			1	-38155.16152	28679.82673	72.29780453
924.3142535	0.9792850627	0.02071493732	Liquid+FCC_A1	0			1	-38156.91789	28677.56071	72.30709507
924.0627635	0.9787130039	0.02128699612	Liquid+FCC_A1	0			1	-38160.34724	28673.0311	72.32558326
923.5604419	0.9775685966	0.02243140342	Liquid+FCC_A1	0			1	-38166.88377	28663.98151	72.36219986
922.5584286	0.9752786271	0.0247213729	Liquid+FCC_A1	0			1	-38178.75036	28645.92061	72.43407994
920.5648998	0.9706940998	0.02930590024	Liquid+FCC_A1	0			1	-38198.21026	28609.94914	72.57300318
916.6196538	0.9615069409	0.03849305913	Liquid+FCC_A1	0			1	-38223.30059	28538.58598	72.83488445
908.8949203	0.9430621831	0.05693781691	Liquid+FCC_A1	0			1	-38234.29584	28398.00646	73.31133755
901.3882956	0.9245274096	0.07547259045	Liquid+FCC_A1	0			1	-38210.57859	28259.96389	73.74240691
894.0960073	0.9059070947	0.09409290526	Liquid+FCC_A1	0			1	-38164.105	28124.06884	74.13988352
887.0140093	0.8872056257	0.1127943743	Liquid+FCC_A1	0			1	-38102.04513	27989.93414	74.51063746
880.137969	0.8684273014	0.1315726986	Liquid+FCC_A1	0			1	-38029.16681	27857.1746	74.85910588
873.463253	0.8495763328	0.1504236672	Liquid+FCC_A1	0			1	-37948.8456	27725.4066	75.18834017
866.9849113	0.8306568426	0.1693431574	Liquid+FCC_A1	0			1	-37863.56825	27594.24753	75.50052478
860.6976568	0.8116728669	0.1883271331	Liquid+FCC_A1	0			1	-37775.21196	27463.31504	75.7972634
854.5958435	0.7926283566	0.2073716434	Liquid+FCC_A1	0			1	-37685.21151	27332.22617	76.07974947
848.6734389	0.7735271802	0.2264728198	Liquid+FCC_A1	0			1	-37594.66486	27200.59628	76.34887363
842.9239929	0.7543731278	0.2456268722	Liquid+FCC_A1	0			1	-37504.40263	27068.03786	76.60529423
837.3406013	0.7351699156	0.2648300844	Liquid+FCC_A1	0			1	-37415.03509	26934.15908	76.84948522
831.9158644	0.7159211924	0.2840788076	Liquid+FCC_A1	0			1	-37326.98447	26798.56225	77.08176928
826.6418397	0.6966305469	0.3033694531	Liquid+FCC_A1	0			1	-37240.50733	26660.84203	77.30234099
821.5099885	0.6773015167	0.3226984833	Liquid+FCC_A1	0			1	-37155.70983	26520.5835	77.51128315
816.5111176	0.6579375996	0.3420624004	Liquid+FCC_A1	0			1	-37072.55788	26377.36003	77.70857805
811.6353128	0.6385422662	0.3614577338	Liquid+FCC_A1	0			1	-36990.88343	26230.73097	77.89411499
806.8718729	0.6191189751	0.3808810249	Liquid+FCC_A1	0			1	-36910.38815	26080.2393	78.06769522
802.2092269	0.599671193	0.400328807	Liquid+FCC_A1	0			1	-36830.64407	25925.40891	78.22903411
797.6348583	0.5802024159	0.4197975841	Liquid+FCC_A1	0			1	-36751.09319	25765.742	78.37776213
793.1352191	0.5607161968	0.4392838032	Liquid+FCC_A1	0			1	-36671.04545	25600.71631	78.51342401
788.6956434	0.5412161781	0.4587838219	Liquid+FCC_A1	0			1	-36589.67563	25429.78239	78.63547686
784.3002606	0.5217061307	0.4782938693	Liquid+FCC_A1	0			1	-36506.0198	25252.36087	78.7432872
779.9319119	0.5021900003	0.4978099997	Liquid+FCC_A1	0			1	-36418.97152	25067.84009	78.83612745
775.5720758	0.4826719626	0.5173280374	Liquid+FCC_A1	0			1	-36327.27849	24875.57396	78.9131718
771.200811	0.4631564865	0.5368435135	Liquid+FCC_A1	0			1	-36229.54053	24674.88064	78.97349211
766.7967292	0.4436484048	0.5563515952	Liquid+FCC_A1	0			1	-36124.20982	24465.04226	79.01605441
762.3370179	0.4241529905	0.5758470095	Liquid+FCC_A1	0			1	-36009.59547	24245.30637	79.03971658
757.7975455	0.4046760309	0.5953239691	Liquid+FCC_A1	0			1	-35883.8748	24014.89015	79.04322904
753.1530925	0.3852238872	0.6147761128	Liquid+FCC_A1	0			1	-35745.11527	23772.98854	79.02523989
748.377771	0.3658035197	0.6341964803	Liquid+FCC_A1	0			1	-35591.31199	23518.78817	78.98430772
743.445694	0.346422448	0.653577552	Liquid+FCC_A1	0			1	-35420.44592	23251.48865	78.91892446
738.3318992	0.3270886234	0.6729113766	Liquid+FCC_A1	0			1	-35230.56291	22970.33111	78.82754908
733.0133253	0.3078102373	0.6921897627	Liquid+FCC_A1	0			1	-35019.85654	22674.62769	78.70864314
727.4691638	0.2885956395	0.7114043605	Liquid+FCC_A1	0			1	-34786.6991	22363.77233	78.56067896
721.6794761	0.2694537368	0.7305462632	Liquid+FCC_A1	0			1	-34529.52984	22037.20188	78.38207071
715.6213706	0.2503952499	0.7496047501	Liquid+FCC_A1	0			1	-34246.5447	21694.29028	78.17099554
709.2639807	0.231434693	0.768565307	Liquid+FCC_A1	0			1	-33935.29175	21334.21478	77.92515627
702.5647007	0.2125924574	0.7874075426	Liquid+FCC_A1	0			1	-33592.37586	20955.86656	77.64159282
695.4677644	0.1938966634	0.8061033366	Liquid+FCC_A1	0			1	-33213.36143	20557.83634	77.31659254
687.9042912	0.1753850616	0.8246149384	Liquid+FCC_A1	0			1	-32792.80096	20138.7207	76.94605535
679.7931438	0.1571072707	0.8428927293	Liquid+FCC_A1	0			1	-32324.33076	19697.80672	76.52642272
671.0412587	0.1391280815	0.8608719185	Liquid+FCC_A1	0			1	-31800.73513	19233.59404	76.05244611
661.543929	0.1215320525	0.8784679475	Liquid+FCC_A1	0			1	-31214.02978	18744.5718	75.5181922
656.4805977	0.1129116478	0.8870883522	Liquid+FCC_A1	0			1	-30894.37822	18490.36896	75.22651447
655.8318488	0.1118435735	0.8881564265	Liquid+FCC_A1	0			1	-30853.10943	18458.12994	75.18884523
655.5061185	0.111310364	0.888689636	Liquid+FCC_A1	0			1	-30832.36304	18441.97149	75.16990786
655.3429129	0.1110439678	0.8889560322	Liquid+FCC_A1	0			1	-30821.96174	18433.88252	75.16041341
655.2612248	0.1109108222	0.8890891778	Liquid+FCC_A1	0			1	-30816.75405	18429.83559	75.15565973
655.2203593	0.1108442626	0.8891557374	Liquid+FCC_A1	0			1	-30814.14844	18427.81152	75.15328127
655.1999213	0.110810986	0.889189014	Liquid+FCC_A1	0			1	-30812.84519	18426.79933	75.15209164
655.1948112	0.1108026672	0.8891973328	Liquid+FCC_A1	0			1	-30812.51934	18426.54627	75.15179419
655.1922561	0.1107985079	0.8892014921	Liquid+FCC_A1	0			1	-30812.3564	18426.41974	75.15164546
										
655.1917296	0.1107976505	0.8892023495	Liquid+HCP_A3			0	1	-30812.32283	18426.39366	75.15161481
655.2770179	0.1104970384	0.8895029616	Liquid+HCP_A3			0	1	-30820.83285	18425.39576	75.15329741
655.3623872	0.1101964494	0.8898035506	Liquid+HCP_A3			0	1	-30829.34545	18424.39864	75.1549754
655.5333695	0.1095953408	0.8904046592	Liquid+HCP_A3			0	1	-30846.3784	18422.40676	75.15831757
655.8763082	0.1083934017	0.8916065983	Liquid+HCP_A3			0	1	-30880.47484	18418.43251	75.16494608
656.5660809	0.1059906405	0.8940093595	Liquid+HCP_A3			0	1	-30948.78684	18410.52219	75.17797594
657.9611958	0.1011896239	0.8988103761	Liquid+HCP_A3			0	1	-31085.86162	18394.85631	75.20309442
660.8135884	0.09160590983	0.9083940902	Liquid+HCP_A3			0	1	-31361.58884	18364.15853	75.24928094
666.7656853	0.07251398346	0.9274860165	Liquid+HCP_A3			0	1	-31917.15894	18305.4113	75.32266784
673.0438017	0.05352697773	0.9464730223	Liquid+HCP_A3			0	1	-32472.46093	18250.39107	75.36337438
679.6421342	0.03464908357	0.9653509164	Liquid+HCP_A3			0	1	-33016.31114	18199.30708	75.35674385
686.5535249	0.01588376726	0.9841162327	Liquid+HCP_A3			0	1	-33524.71166	18152.34671	75.27025424
690.1240476	0.006544288786	0.9934557112	Liquid+HCP_A3			0	1	-33744.1899	18130.46742	75.16714931
691.9375403	0.001885462395	0.9981145376	Liquid+HCP_A3			0	1	-33829.13235	18119.9371	75.0776861
692.3938302	0.0007218976709	0.9992781023	Liquid+HCP_A3			0	1	-33842.85168	18117.3476	75.04428407
692.6224112	0.0001402868167	0.9998597132	Liquid+HCP_A3			0	1	-33845.85189	18116.05933	75.02198945
692.6510043	6.759350336E-05	0.9999324065	Liquid+HCP_A3			0	1	-33845.66108	18115.89861	75.01838497
692.6653025	3.12475169E-05	0.9999687525	Liquid+HCP_A3			0	1	-33845.40965	18115.81827	75.01635743
692.672452	1.307469167E-05	0.9999869253	Liquid+HCP_A3			0	1	-33845.19938	18115.7781	75.01522159
692.6760269	3.988319458E-06	0.9999960117	Liquid+HCP_A3			0	1	-33845.04312	18115.75802	75.01457987
										
655.1917296	0.1107976505	0.8892023495	Liquid+FCC_A1+HCP_A3	0		0	1	-30812.32283	18426.39366	75.15161481
